PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40624484,"Comparison of intravenous nalbuphine and sufentanil on the median effective effect-site concentration of propofol to attenuate the response to cervical dilation during hysteroscopy: a double-blind, dose-response study.",2025,N/A,N/A,"Department of Anesthesia, Women's Hospital, Zhejiang University School of Medicine, No.1 Xueshi Road, Hangzhou, Zhejiang Province, 310006, China. xulili@zju.edu.cn."
40621483,Immunotherapy in metastatic prostate cancer.,2025,"Dwyer, Leslie, Mellor, Scheinberg, Horvath","Chris O'Brien Lifehouse, Camperdown, NSW, Australia., Chris O'Brien Lifehouse, Camperdown, NSW, Australia., Chris O'Brien Lifehouse, Camperdown, NSW, Australia., Chris O'Brien Lifehouse, Camperdown, NSW, Australia., Chris O'Brien Lifehouse, 119-143 Missenden Road, Camperdown, NSW 2050, Australia.",N/A
40618179,Virtual Intervention for Vertebral frActures (VIVA): protocol for a feasibility study of a multicentre randomized controlled trial.,2025,"Brien, Funnell, Weston","Osteoporosis Canada, Toronto, ON, Canada., Osteoporosis Canada, Toronto, ON, Canada., Canadian Society for Exercise Physiology, Ottawa, ON, Canada.","Schlegel Research Institute for Aging and Department of Kinesiology and Health Sciences, University of Waterloo, Waterloo, ON, N2L 3G1, Canada. lora.giangregorio@uwaterloo.ca."
40614566,Impact of Sex and Age on Trends of Mortality From Infective Endocarditis in High-Income Countries.,2025,N/A,N/A,"Division of Cardiothoracic Surgery, Department of Surgery, Westchester Medical Center, New York Medical College, Valhalla, New York; New York Medical College, Valhalla, New York, USA. Electronic address: mhibino-ngy@umin.org., Division of Cardiac Surgery, Li Ka Shing Knowledge Institute, St. Michael's Hospital of Unity Health Toronto, Toronto, Ontario, Canada; Department of Surgery, University of Toronto, Toronto, Ontario, Canada; Department of Pharmacology and Toxicology, University of Toronto, Toronto, Ontario, Canada. Electronic address: vermasu@smh.ca."
40614031,"Current trends on antifungal prophylaxis in solid organ transplantation: a study from ESCMID-EFISG, ESCMID-ESGICH, SITA, and SEIMC-GESITRA-IC.",2025,Giannella,"Infectious Diseases Unit, IRCCS-Sant'Orsola Polyclinic, Bologna, Italy.","Institute of Translational Research, Cologne Excellence Cluster On Cellular Stress Responses in Aging-Associated Diseases (CECAD), Faculty of Medicine, University of Cologne, Herderstraße 52, 50931, Cologne, Germany. jon.salmanton-garcia@uk-koeln.de., Department of Clinical Microbiology and Infectious Diseases, Hospital General Universitario Gregorio Marañón, Madrid, Spain. mavami_valerio@yahoo.com.mx."
40613728,Ambulatory Oxygen for Pulmonary Fibrosis (OxyPuF): a randomised controlled trial and acceptability study.,2025,N/A,N/A,N/A
40612549,Analysis of the impact of emergency care on the incidence of in-hospital complications in patients with acute abdomen and the incidence of complications.,2025,N/A,N/A,N/A
40606212,Study protocol for a pilot randomized trial building resiliency among caregivers of cancer curvivors and metavivors.,2025,N/A,N/A,N/A
40605477,Prophylactic Negative Pressure Wound Therapy Reduces Superficial Surgical Site Infection Risk of Emergency Surgery Patients: Results of a Multicenter Randomised Prospective Clinical Trial.,2025,N/A,N/A,N/A
40602108,Implementation and outcome of personalized treatment strategies in advanced genitourinary cancers.,2025,"Klostermann, Jegodka, Keilholz, Knödler","Charité Comprehensive Cancer Center, Charité - Universitätsmedizin Berlin, Berlin, Germany. Electronic address: annasoraya.klostermann@alumni.charite.de., Charité Comprehensive Cancer Center, Charité - Universitätsmedizin Berlin, Berlin, Germany., Charité Comprehensive Cancer Center, Charité - Universitätsmedizin Berlin, Berlin, Germany; German Cancer Consortium (DKTK) and German Cancer Research Center, Partner Site Berlin, Berlin, Germany., Charité Comprehensive Cancer Center, Charité - Universitätsmedizin Berlin, Berlin, Germany.","Charité Comprehensive Cancer Center, Charité - Universitätsmedizin Berlin, Berlin, Germany. Electronic address: annasoraya.klostermann@alumni.charite.de., Charité Comprehensive Cancer Center, Charité - Universitätsmedizin Berlin, Berlin, Germany; Department of Hematology, Oncology and Cancer Immunology, Campus Benjamin Franklin, Charité - Universitätsmedizin Berlin, Berlin, Germany; German Cancer Consortium (DKTK) and German Cancer Research Center, Partner Site Berlin, Berlin, Germany. Electronic address: damian.rieke@charite.de."
